rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
2,2,-1,OLD,20176104,그것만이 내 세상,2018-01-17,721935500,16.7,33614700,4.9,18329213652,123036,31521,34.4,2286474,706,2774
3,3,0,NEW,20178126,인시디어스4: 라스트 키,2018-01-31,628833500,14.6,628833500,100,632047500,102991,102991,100,103369,601,2017
4,4,-2,OLD,20179985,코코,2018-01-11,411756400,9.5,9493100,2.4,21507072716,69621,14461,26.2,2735645,665,1785
5,5,-2,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,238325100,5.5,-78224300,-24.7,17134625125,40704,-469,-1.1,2080969,502,1138
6,6,-2,OLD,20150976,신과함께-죄와 벌,2017-12-20,209579100,4.9,-41166700,-16.4,112765617837,34634,437,1.3,14051561,504,1095
7,7,8,OLD,20178395,12 솔져스,2018-01-31,159644500,3.7,150082400,1569.6,190916600,25712,24236,1642,29132,184,871
8,8,-3,OLD,20170590,1987,2017-12-27,133409100,3.1,-58294700,-30.4,57133807345,22463,-3385,-13.1,7100992,404,759
9,9,-3,OLD,20178230,커뮤터,2018-01-24,32034800,0.7,-93054200,-74.4,2122704655,5176,-11487,-68.9,264304,203,367
10,10,-3,OLD,20168161,1급기밀,2018-01-24,26619000,0.6,-86639300,-76.5,1592776900,4322,-11072,-71.9,200090,168,279
1,1,0,OLD,20168323,염력,2018-01-31,763114000,28.5,-854127600,-52.8,2440655600,101924,-162787,-61.5,375216,1053,5998
2,2,0,OLD,20176104,그것만이 내 세상,2018-01-17,486682800,18.2,-235252700,-32.6,18815896452,64564,-58472,-47.5,2351038,668,2666
